 X		Y		Z		Time[us]
-2781		260		292		3.24786e-309
-15		320		346		0.00627136
-2738		336		281		0.0127716
-2781		-14		-73		0.018998
-2799		265		90		0.0255142
-25		312		353		0.0343101
-2731		-3		52		0.0441204
-2710		265		267		0.0504117
-2757		-28		88		0.0570239
-2814		296		374		0.0635871
-2767		263		-112		0.0700993
-2777		-2		329		0.0851116
-2734		-28		112		0.0913969
-2760		-3		70		0.102942
-2739		268		-66		0.109269
-2746		-81		82		0.116034
-2725		267		259		0.122572
-2814		274		-34		0.128813
-2752		279		348		0.13522
-2749		-2		17		0.141714
-2783		-11		-102		0.14808
-2697		-15		85		0.154552
-2777		-47		306		0.160903
-2722		-54		63		0.167553
-2748		-68		-49		0.173822
-2776		-1		3		0.180179
-2741		-97		2		0.186538
-2786		-56		83		0.192939
-2784		-16		29		0.199359
-2778		-76		-36		0.20586
-2729		-12		9		0.212432
-2810		-29		336		0.218771
-2699		295		359		0.225213
-2732		-43		32		0.231598
-2758		259		-76		0.238166
-2758		269		324		0.244364
-2758		-33		14		0.250685
-65		123		344		0.257006
-2789		329		271		0.263402
-2799		-34		32		0.269845
-2784		259		-26		0.27632
-2748		-45		43		0.282677
-2814		-24		-118		0.289083
-2754		-42		-36		0.295496
-2764		301		333		0.302166
-16		-31		80		0.308257
-2811		-17		78		0.314615
-2993		-12		85		0.320941
-119		327		283		0.327307
-2698		335		37		0.333723
-2738		-23		85		0.340214
-22		-61		-89		0.346516
-2691		280		-100		0.353022
-2712		273		273		0.359598
-2729		-2		43		0.365803
-2804		263		-98		0.372068
-2737		-13		-88		0.378383
-2738		266		-128		0.384839
-2804		262		336		0.391089
-2760		334		295		0.397441
-18		-32		-115		0.404009
-2763		264		-101		0.41028
-2709		-93		12		0.416801
-2694		-12		-105		0.423493
-2795		-20		64		0.429887
-2752		-7		-24		0.436098
-2768		-42		13		0.442374
-2743		-21		74		0.448749
-3		-59		44		0.455082
-2768		298		-65		0.461414
-2772		-12		356		0.467811
-2755		-50		23		0.474039
-21		-24		-108		0.480543
-2752		298		-110		0.487324
-3025		273		318		0.511855
-2743		-9		90		0.518301
-43		-26		101		0.52468
-2801		274		-19		0.531042
-60		-14		103		0.537625
-2794		-18		371		0.543922
-2798		-51		-124		0.555511
-2811		-53		15		0.561919
-2754		-37		351		0.568311
-2805		-21		4		0.574703
-2786		-5		-101		0.581033
-2791		-51		306		0.587399
-91		304		289		0.59379
-2778		-45		38		0.600314
-2721		-36		113		0.622268
-2753		284		-127		0.628742
-2757		-46		98		0.63526
-2808		288		319		0.641752
-2757		292		107		0.648119
-2765		260		357		0.654684
-2776		269		341		0.661247
-2752		-28		-68		0.667484
-2762		-41		67		0.673556
-58		267		-6		0.679973
-128		271		-98		0.686356
-119		286		-72		0.692814
-36		-89		80		0.699194
-2726		-55		-94		0.705567
-2757		-23		85		0.712023
-2		-91		77		0.71859
-2740		-47		-84		0.725502
-112		-5		11		0.731714
-2778		-20		-6		0.737886
-2737		258		56		0.744387
-2800		-38		-25		0.750718
-2796		-38		60		0.757066
-2779		-25		294		0.763376
-68		-2		-72		0.769826
-2		318		-123		0.776047
-2750		-10		111		0.782687
-64		-58		-111		0.789416
-25		256		369		0.795771
-2812		261		-85		0.80185
-2785		293		-38		0.808239
-2816		345		288		0.814542
-2784		293		355		0.821434
-72		284		284		0.827763
-2809		-3		80		0.834197
