 X		Y		Z		Time[us]
298		-25		-107		1.59202e-309
-5		-96		-115		0.0062239
323		-83		-108		0.0121668
319		-25		120		0.0267985
348		257		108		0.0298105
-118		319		-127		0.0329634
-89		270		96		0.0361714
-77		288		108		0.0393563
-70		298		110		0.0425563
-41		263		-125		0.0459062
548		-7		115		0.0491352
306		-29		-105		0.0524471
-9		261		120		0.059164
-52		290		-74		0.0625159
-125		-10		-92		0.0658989
-93		-23		-125		0.0692088
373		-39		-113		0.0724758
352		-78		126		0.0758607
-113		-24		114		0.0792157
-87		-3		-107		0.0824186
331		-102		-107		0.0856776
-124		-34		101		0.0980493
368		-19		108		0.101392
359		-41		117		0.104629
339		-50		80		0.107913
364		265		-120		0.111095
378		287		-114		0.114258
299		256		105		0.117568
263		270		-126		0.120807
287		-108		-115		0.124216
363		122		123		0.148434
368		-49		-108		0.151716
383		-87		111		0.154881
-67		-67		-128		0.158157
-108		-6		108		0.161605
379		-65		113		0.164888
376		-117		97		0.168241
368		-31		85		0.17161
357		-27		68		0.177768
309		-45		73		0.180988
337		-90		67		0.184208
284		-101		95		0.187513
370		-84		68		0.190803
355		-82		83		0.194072
-122		-55		97		0.197321
338		-33		100		0.200583
279		-59		95		0.203982
324		-93		83		0.207222
-58		-72		80		0.210481
-92		-73		54		0.21375
-95		-83		52		0.216927
-103		-10		89		0.220119
300		-17		94		0.223437
259		-90		91		0.226792
337		-103		72		0.230224
266		-121		76		0.233835
262		-87		66		0.237073
-6		-91		57		0.256112
258		-47		62		0.259435
-49		-22		66		0.262812
-80		-99		98		0.266181
268		122		67		0.269473
-23		-68		64		0.272683
276		-107		53		0.275951
-15		-71		60		0.279214
270		-80		80		0.282592
-48		-97		91		0.286009
272		-75		89		0.289339
-67		-53		44		0.292899
-28		-80		89		0.296154
-48		-81		60		0.299377
-46		-76		113		0.302637
352		119		83		0.325988
-113		-87		98		0.329332
-82		-79		112		0.332595
-70		-116		110		0.335875
-51		-56		59		0.339156
-36		-66		119		0.342471
-20		-126		92		0.3459
517		-63		79		0.349035
-83		-35		65		0.352209
-15		-65		86		0.355646
-52		-10		87		0.358986
-45		-70		93		0.366256
530		-28		89		0.36951
-4		-19		120		0.372781
520		-58		121		0.375974
552		-20		104		0.379384
532		-22		108		0.382607
-11		-108		-125		0.385904
567		-64		-112		0.389188
520		-64		-109		0.392409
559		-73		112		0.39566
-36		-50		111		0.398892
520		124		-112		0.402134
541		108		-120		0.405407
550		-13		-128		0.408734
597		321		112		0.412024
615		333		114		0.415392
-77		303		120		0.418947
-107		294		98		0.422212
346		338		116		0.425455
353		258		89		0.428716
-37		-40		-114		0.447396
105		106		-126		0.450723
26		33		-114		0.454061
328		107		117		0.457386
-123		-38		87		0.460632
343		50		-120		0.463812
-84		29		-100		0.467113
-79		-100		-124		0.470393
355		123		-128		0.473664
541		-65		117		0.477039
-76		305		98		0.48053
295		-61		85		0.48372
262		-19		86		0.487007
-23		-7		86		0.490365
-86		121		62		0.505287
-27		-125		76		0.510351
341		36		60		0.513631
302		111		118		0.516895
256		63		90		0.520158
334		-29		65		0.523432
541		94		33		0.526677
-30		88		81		0.53012
-28		27		97		0.533457
523		-112		89		0.536773
-125		75		98		0.539986
-114		-120		106		0.543194
-81		-63		99		0.546428
-128		-39		81		0.549573
380		-37		69		0.552807
-113		37		73		0.557145
3		-4		80		0.560361
-16		-66		86		0.563493
-47		5		91		0.566662
-80		-17		81		0.569986
-39		-70		58		0.573247
-36		-202		55		0.576472
-17		-35		79		0.595968
-14		-10		79		0.599205
-7		-59		87		0.602663
-3		-31		24		0.60591
369		36		59		0.609142
345		14		77		0.612321
-49		93		76		0.61557
124		121		78		0.618813
118		122		52		0.622169
110		-127		29		0.625515
28		-96		19		0.628818
52		120		9		0.632032
107		-93		60		0.635289
23		-89		45		0.63853
-107		82		81		0.641883
-127		-58		-112		0.654844
-16		20		99		0.667372
49		86		-128		0.67063
114		107		-95		0.673943
117		125		-116		0.677206
106		113		-128		0.68056
-76		-77		121		0.683975
112		123		75		0.68747
294		-113		-124		0.690635
351		304		77		0.693842
257		-118		73		0.697052
11		-112		19		0.700315
-64		512		36		0.715048
-19		560		26		0.71831
-25		-46		97		0.721719
287		319		82		0.725045
-56		364		91		0.728312
-50		337		60		0.731623
-20		353		34		0.734937
-48		338		72		0.738169
292		303		-119		0.741348
-28		303		107		0.744596
598		310		94		0.747834
-95		362		81		0.751171
597		363		53		0.75486
-5		356		109		0.75814
550		-104		99		0.761554
586		-98		87		0.766105
-96		370		117		0.769375
-123		-99		51		0.772531
-66		-88		32		0.775782
-54		378		68		0.779056
-104		366		27		0.782261
585		-37		64		0.785577
-82		553		40		0.788785
638		530		34		0.792053
-57		-13		96		0.795526
-35		-75		112		0.79897
512		336		100		0.802155
589		363		74		0.805682
630		-119		43		0.808928
-27		-58		62		0.812161
-86		513		95		0.815386
-116		-64		110		0.818669
579		-90		85		0.821941
603		-53		104		0.825402
518		-107		89		0.828762
-80		-113		89		0.831887
526		351		125		0.835143
318		379		95		0.838372
-92		336		-117		0.841764
-57		-43		36		0.854036
-12		-64		26		0.866674
565		-37		33		0.86993
-84		550		49		0.87319
-13		575		21		0.876364
619		-61		-8		0.879741
-76		-93		48		0.88304
-88		518		75		0.886385
-42		-74		63		0.889655
379		-45		48		0.892839
325		-33		108		0.896066
376		-70		89		0.89916
358		278		-125		0.902404
-79		-116		-98		0.905683
375		363		-73		0.908976
584		335		127		0.923927
533		-80		98		0.9363
-32		-56		84		0.939548
-38		-49		105		0.942955
-128		-68		82		0.946283
-115		-62		68		0.949669
283		-94		73		0.952947
293		-71		66		0.956069
277		-109		81		0.959358
-34		-114		121		0.962577
-47		361		114		0.965823
-74		-52		95		0.984771
-36		-100		-120		0.98811
-98		-121		-121		0.991423
364		-69		125		0.99465
372		-59		-123		0.997857
-106		110		70		1.00102
369		-42		107		1.0043
24		-44		88		1.00757
-85		296		41		1.01088
-83		297		117		1.01419
-98		-29		85		1.01751
-229		-19		94		1.02077
97		121		118		1.03356
283		72		89		1.04597
334		68		79		1.04927
292		109		95		1.0525
-110		9		104		1.0558
346		-19		76		1.05915
-81		-39		56		1.06249
514		-29		79		1.06608
-44		-128		70		1.06925
-55		112		79		1.07261
124		18		118		1.07582
-25		-88		87		1.08344
5		-106		86		1.08663
83		-37		115		1.08997
80		-21		-122		1.09327
-17		-138		-120		1.09658
-55		-175		122		1.0999
-101		-49		-108		1.10322
-31		-77		-102		1.1065
-23		-65		-99		1.10988
-83		-73		-102		1.11323
-103		-111		-125		1.11646
364		-40		121		1.11963
319		121		108		1.12294
-10		74		-128		1.12634
-70		-23		-127		1.12954
111		7		117		1.13297
104		-42		-106		1.1364
5		-100		122		1.13961
-24		-99		-128		1.14298
-210		-73		-80		1.16323
-119		-6		-113		1.16654
-115		36		-108		1.16986
-73		74		-86		1.17314
-175		23		-75		1.17633
-117		94		-80		1.17951
-154		-97		-109		1.18292
-60		-69		-84		1.18627
-240		-45		-119		1.18947
-88		-119		-71		1.19323
-402		-103		-74		1.19674
-479		-97		-101		1.20006
-503		-106		-121		1.20339
-14		-70		-108		1.20666
-225		-98		125		1.21488
-143		-29		113		1.21814
-54		322		114		1.22136
-212		-6		107		1.22463
-62		274		-121		1.22791
-202		337		97		1.23111
-206		-4		-110		1.23434
-212		-71		-114		1.23756
-181		-5		-86		1.2408
-172		5		125		1.24402
39		-50		-104		1.24721
-256		-80		-113		1.25046
-198		46		122		1.25387
-146		104		121		1.25709
-115		97		118		1.26045
35		89		-103		1.26417
52		-113		-126		1.26743
48		-8		-92		1.27066
95		-112		-90		1.27393
-78		72		125		1.29266
-61		61		110		1.29597
-47		-99		102		1.29937
269		-124		53		1.30263
122		-113		53		1.30587
-107		-68		90		1.30904
-53		-107		80		1.31244
35		108		-116		1.31571
-87		-116		98		1.319
-108		-70		71		1.32235
61		261		87		1.32597
86		-19		109		1.32914
-36		-83		121		1.33244
15		-21		-112		1.33575
-17		-16		-78		1.33902
10		-98		111		1.36294
