 X		Y		Z		Time[us]
-81		114		51		0
-46		99		76		1250
-72		127		59		2500
-46		121		34		3750
-72		97		53		5000
-75		126		75		6250
-35		116		61		7500
-35		-110		70		8750
-45		-117		80		10000
-7		-117		50		11250
-70		107		43		12500
-65		117		50		13750
-56		113		56		15000
-47		112		43		16250
-50		98		50		17500
-32		95		91		18750
-63		-111		95		20000
-36		108		64		21250
-60		124		65		22500
-55		109		49		23750
-50		-117		51		25000
-84		107		44		26250
-73		107		51		27500
-66		-126		47		28750
256		121		45		30000
-57		115		49		31250
-45		107		47		32500
-62		115		32		33750
-62		121		70		35000
-35		110		61		36250
-22		114		74		37500
-61		89		53		38750
-23		98		60		40000
-68		108		52		41250
-86		-120		40		42500
-47		127		47		43750
-12		97		68		45000
-17		-113		52		46250
-49		108		66		47500
-31		100		45		48750
-72		114		75		50000
-41		120		68		51250
-40		123		55		52500
-18		111		76		53750
-46		106		48		55000
-41		114		44		56250
-31		115		37		57500
-59		-113		58		58750
-56		117		45		60000
-93		124		91		61250
-45		114		50		62500
-66		83		40		63750
-59		117		50		65000
-80		115		57		66250
-58		106		60		67500
-45		97		43		68750
-50		92		33		70000
-40		124		37		71250
-64		117		45		72500
-50		121		35		73750
-65		109		57		75000
-65		-118		64		76250
-70		106		69		77500
-52		99		43		78750
-52		95		46		80000
-57		116		34		81250
-67		-128		58		82500
-24		-113		47		83750
-60		105		62		85000
-55		102		65		86250
-46		105		49		87500
-52		91		61		88750
-17		109		81		90000
-57		-127		70		91250
-51		98		58		92500
-78		116		89		93750
-4		120		54		95000
-45		123		58		96250
-45		-122		53		97500
-84		-123		49		98750
-39		-128		74		100000
-76		102		52		101250
-47		104		65		102500
-76		-118		56		103750
-60		-127		71		105000
-56		117		41		106250
-74		109		45		107500
-27		77		44		108750
-23		91		83		110000
-42		120		84		111250
-44		124		75		112500
-35		-113		45		113750
-16		119		55		115000
-56		-126		57		116250
-44		-119		51		117500
-71		122		50		118750
-45		-118		47		120000
-30		122		57		121250
-14		125		39		122500
-18		-121		48		123750
-45		111		76		125000
-50		118		24		126250
-50		100		72		127500
-12		-120		59		128750
-38		111		61		130000
-56		122		58		131250
-50		123		14		132500
-23		120		79		133750
-50		-106		76		135000
-44		122		53		136250
-40		121		47		137500
-10		110		32		138750
-61		108		39		140000
-57		-128		64		141250
-49		123		59		142500
-69		108		72		143750
-64		113		52		145000
-43		-111		86		146250
-46		104		60		147500
-81		122		86		148750
-53		-117		52		150000
-35		106		65		151250
-36		123		73		152500
-40		-124		49		153750
-67		122		47		155000
-42		-110		58		156250
-53		122		44		157500
-28		99		31		158750
-43		-127		37		160000
-40		-119		36		161250
-82		-121		41		162500
-53		105		55		163750
-39		119		77		165000
-52		114		77		166250
-23		-118		61		167500
-49		-124		49		168750
-66		-119		42		170000
-19		110		72		171250
-53		121		63		172500
-60		70		32		173750
-55		-124		47		175000
-53		117		34		176250
-67		-128		80		177500
-33		110		39		178750
-43		-123		69		180000
-40		112		52		181250
-33		-126		76		182500
-52		-127		66		183750
-52		127		53		185000
-54		118		45		186250
-60		120		71		187500
-49		116		34		188750
-61		120		66		190000
-45		119		36		191250
-42		117		47		192500
-41		-114		63		193750
-42		101		44		195000
-52		104		47		196250
-34		-128		40		197500
-39		118		62		198750
-36		123		81		200000
-64		123		68		201250
-49		114		57		202500
-46		81		59		203750
-49		92		49		205000
-50		121		49		206250
-51		112		34		207500
-37		122		63		208750
-50		114		74		210000
-47		117		61		211250
-50		105		64		212500
-59		102		44		213750
-80		108		58		215000
-70		95		28		216250
-54		-105		69		217500
-54		96		61		218750
-67		125		83		220000
-52		120		70		221250
-34		97		76		222500
-46		105		67		223750
-67		-127		68		225000
-52		-118		48		226250
-61		120		76		227500
1		121		27		228750
-6		106		38		230000
-41		115		56		231250
-26		114		49		232500
-45		124		18		233750
-72		112		63		235000
-20		121		55		236250
-45		110		57		237500
-60		88		59		238750
-46		-117		73		240000
-75		127		76		241250
-53		121		81		242500
-71		-127		61		243750
-40		126		76		245000
259		127		53		246250
-15		-125		40		247500
-65		-116		30		248750
-51		119		31		250000
-46		-108		44		251250
-73		109		46		252500
-48		105		73		253750
-52		-124		55		255000
-41		127		47		256250
-66		107		78		257500
-56		-126		63		258750
-62		122		53		260000
-68		105		30		261250
-69		102		45		262500
-54		123		42		263750
-26		117		44		265000
-25		-122		62		266250
-31		-123		58		267500
-36		117		55		268750
-84		124		61		270000
-36		118		42		271250
-77		88		62		272500
-55		102		70		273750
-83		118		67		275000
-2		-118		38		276250
-36		103		52		277500
-39		97		61		278750
-35		116		51		280000
-101		76		76		281250
-34		-123		54		282500
-116		126		44		283750
-42		97		95		285000
-48		78		81		286250
-56		120		38		287500
-69		78		53		288750
-76		112		42		290000
-1		107		60		291250
-19		109		66		292500
-55		-91		44		293750
-57		114		93		295000
-46		123		68		296250
-60		100		57		297500
-82		127		81		298750
-116		-120		84		300000
-42		118		67		301250
-22		115		35		302500
-42		115		50		303750
-22		125		72		305000
-58		126		54		306250
-73		98		56		307500
-65		110		59		308750
-82		-117		48		310000
-34		125		63		311250
-67		109		62		312500
-38		120		70		313750
-34		119		84		315000
-29		108		72		316250
-78		-124		78		317500
-49		109		44		318750
-69		119		63		320000
-87		-128		97		321250
-58		122		60		322500
-41		-125		62		323750
-65		105		72		325000
-26		111		60		326250
-80		123		75		327500
-28		-111		61		328750
-6		99		50		330000
-73		120		45		331250
-58		121		28		332500
-79		85		73		333750
-45		83		79		335000
-46		103		63		336250
-50		-124		65		337500
-40		120		41		338750
-62		-118		37		340000
-44		124		49		341250
-37		109		50		342500
-67		124		77		343750
-55		118		41		345000
-11		126		50		346250
-30		-125		74		347500
-64		107		62		348750
-63		92		77		350000
-83		105		52		351250
-85		120		55		352500
-44		109		66		353750
-61		111		79		355000
-40		123		63		356250
-53		-100		57		357500
-9		100		76		358750
-51		105		62		360000
-53		80		57		361250
-14		118		44		362500
-33		123		78		363750
-16		92		57		365000
-51		99		55		366250
256		115		41		367500
-59		125		52		368750
-81		110		53		370000
-66		116		40		371250
-48		-117		68		372500
-40		102		59		373750
-33		125		49		375000
-53		109		35		376250
-29		113		88		377500
-3		103		87		378750
-60		111		76		380000
-28		-118		61		381250
-73		-125		63		382500
-39		105		44		383750
-73		113		78		385000
