 X		Y		Z		Time[us]
-128		-2211		-8		3.15508e-309
-91		-2265		-40		0.00339491
-2031		-36		17494		0.00677982
-70		-125		16465		0.0101687
-1937		-2188		-118		0.0133287
-1779		-20		-47		0.0167066
-94		-2029		-89		0.0200675
-1680		-2493		16392		0.0234924
-1688		-100		16168		0.0268763
-1496		-31		-91		0.0332131
-107		-2448		15652		0.0363901
-1987		-2278		17158		0.039803
-39		-1942		15631		0.0437929
-35		-2016		-3		0.0471368
-1939		-48		16177		0.0504517
-1779		-85		-39		0.0611864
-1977		-108		16758		0.0645603
-1708		-4		15743		0.0678803
-53		-2218		-80		0.0732631
-47		-2195		-7		0.077426
-1977		-120		-95		0.0816889
-80		-107		-28		0.0860548
-1720		-1704		-110		0.0897317
-19		-57		16494		0.102861
-75		-125		16744		0.10609
-1931		-113		-122		0.109385
-1745		-2257		16151		0.130516
-1985		-94		16216		0.133748
-1672		-2193		-96		0.13704
-3		-2026		16709		0.140292
-81		-21		-104		0.143709
-1676		-64		16967		0.147158
-111		-15		16161		0.150708
-1955		-2022		-57		0.154005
-1973		-2251		16969		0.157402
-2032		-80		-33		0.160856
-117		-73		-47		0.1646
-1525		-1989		-127		0.167752
-40		-2244		-61		0.170888
-36		-127		-25		0.18199
-15		-2189		-12		0.185447
-1932		-2031		-11		0.188774
-1956		-2009		16220		0.191983
-86		-1923		-24		0.195287
-51		-76		15210		0.198688
-1702		-1925		-61		0.201937
-10		-2257		-67		0.205221
-31		-2192		-82		0.208418
-127		-2204		15913		0.211676
-1735		-2251		-42		0.214857
-12		-2045		16656		0.218171
-90		-25		16131		0.221415
-2257		-2044		16474		0.224716
-46		-64		-96		0.228138
-1742		-57		16464		0.2314
-1696		-2009		16137		0.234494
-1503		-2244		-60		0.237593
-106		-1691		15903		0.240724
-31		-2213		16731		0.243932
-1722		-44		-84		0.247188
-1972		-2257		16734		0.250515
-1788		-47		16754		0.25399
-44		-2216		-50		0.257228
-1933		-47		-113		0.260553
-2267		-2212		-110		0.263846
-121		-97		16155		0.267127
-1689		-6		-113		0.270465
-1677		-3		16197		0.273662
-41		-2204		15455		0.27689
-2000		-8		15935		0.280491
-1677		-97		17419		0.283636
-12		-76		-122		0.286929
-1956		-2028		16221		0.290263
-2038		-2271		-122		0.29353
-2243		-48		16957		0.296883
-96		-2265		16253		0.300205
-2460		-16		-83		0.303408
-105		-65		-20		0.306616
-123		-105		16444		0.329731
-1681		-2249		16977		0.332989
-2232		-2214		17436		0.336214
-1995		-57		16499		0.339451
-1765		-2028		-49		0.342801
-15		-1779		15670		0.346044
-1449		-2035		-39		0.349398
-49		-24		-115		0.352648
-84		-1981		16762		0.355892
-2028		-1981		16237		0.359159
-16		-2032		16394		0.362248
-1983		-2235		16923		0.365394
-43		-90		-43		0.368589
-24		-2214		16451		0.371931
-2036		-97		16671		0.375133
-1785		-1		-69		0.381046
-1716		-69		-12		0.384158
-32		-2203		15639		0.387393
-1738		-28		16722		0.390627
-1688		-2012		16386		0.393815
-113		-123		16395		0.397073
-1701		-2439		-9		0.400461
-37		-31		-125		0.403816
-2280		-2275		16460		0.407011
-84		-1765		-11		0.410232
-124		-115		-53		0.413426
-1966		-2220		15686		0.41671
-40		-1945		-110		0.419924
-1688		-2203		-128		0.423135
-2253		-2237		-96		0.426287
-1681		-111		-106		0.429609
-1668		-81		15709		0.432917
-64		-71		16140		0.43623
-68		-54		16688		0.439422
-96		-1988		17013		0.442879
-40		-1942		17009		0.446262
-21		-2284		-31		0.449469
-1923		-105		16475		0.469768
-1996		-2512		-84		0.473064
-115		-2268		16746		0.476359
-127		-1997		16188		0.479715
-32		-1952		-124		0.482964
-32		-45		15692		0.486222
-91		-33		-15		0.489502
-1528		-49		-57		0.492748
-1788		-72		-33		0.49622
-1751		-2184		16755		0.499651
-1533		-1992		16464		0.502988
-2231		-73		-43		0.506071
-30		-2201		-105		0.509265
-2033		-2287		16464		0.512572
-12		-56		-62		0.5158
-1951		-2180		-12		0.519071
-1740		-2259		-7		0.541047
-90		-2435		-40		0.544297
-55		-2245		16494		0.547527
-123		-2187		-86		0.550728
-2293		-2239		-56		0.553994
-92		-1931		-36		0.557317
-90		-1952		16695		0.560603
-1675		-1780		-120		0.564119
-80		-2001		-67		0.567363
-55		-2459		-104		0.570561
-17		-30		16909		0.573916
-1708		-2179		-28		0.577135
-1724		-100		-4		0.600483
-31		-2041		-61		0.603865
-95		-2239		15411		0.607018
-110		-2032		-20		0.610371
-23		-65		16484		0.6138
-2045		-53		-112		0.617044
-112		-22		-76		0.620345
-1740		-35		-40		0.623839
-1935		-2006		-40		0.627176
-2249		-90		-26		0.630375
-19		-120		15115		0.633608
-1740		-115		-6		0.641185
-92		-2465		-124		0.644423
-85		-33		16237		0.647656
-1776		-25		-104		0.651007
-60		-85		-89		0.654261
-24		-2500		-1		0.657488
-2304		-2196		15915		0.660714
-1995		-2212		-28		0.664031
-2233		-2000		15740		0.667258
-94		-2000		15628		0.670593
-65		-63		15407		0.673781
-1720		-1700		-100		0.677024
-77		-2517		-32		0.680173
-39		-4		16164		0.683502
-1496		-81		16145		0.686718
-28		-2224		16249		0.690019
-1939		-2468		16456		0.693583
-36		-2209		-97		0.696891
-2243		-2019		-127		0.700091
-2281		-65		-35		0.718941
-28		-40		16697		0.722229
-1987		-2247		16707		0.725532
-90		-2245		-100		0.72892
-2200		-101		-61		0.732211
-1927		-2028		-111		0.735463
-121		-2032		-80		0.738739
-65		-1949		-126		0.741898
-1763		-71		15992		0.745124
-73		-1932		15461		0.748362
-19		-96		15739		0.751736
-128		-108		17244		0.754985
-88		-112		16165		0.758878
-83		-1949		-85		0.762054
-31		-70		-125		0.765221
-26		-83		-71		0.768345
-36		-47		15887		0.771552
-1777		-2041		-15		0.774722
-1985		-56		15909		0.779231
-68		-110		-1		0.782535
-28		-2179		16387		0.785749
-39		-2025		-59		0.808559
-1956		-79		-36		0.81179
-113		-88		15452		0.815018
-107		-1747		15146		0.818326
-72		-95		16486		0.821509
-110		-2304		-20		0.824779
-24		-2236		16701		0.828101
-1711		-51		16488		0.831443
-128		-1976		16951		0.834907
-97		-82		-41		0.83805
-1780		-2188		-64		0.841125
-24		-2244		-97		0.844388
-95		-91		16202		0.847712
-2189		-2281		15964		0.850923
-20		-2262		-104		0.858878
-123		-2235		16712		0.862071
-1761		-2028		16967		0.865279
-11		-2249		-43		0.868499
-1985		-2241		15954		0.87175
-88		-2257		16424		0.874988
-68		-13		-127		0.878253
-2232		-2220		-128		0.881465
-1988		-2278		-112		0.884757
-1764		-14		-91		0.88801
-10		-2046		-49		0.89146
-1523		-1953		14900		0.894676
-2032		-2179		-32		0.898026
-2032		-1937		-60		0.90128
-1760		-58		15917		0.904565
-80		-53		-106		0.907975
-1769		-2264		16671		0.911345
-119		-2016		-122		0.914587
-2000		-2271		16907		0.917798
-37		-8		15693		0.921022
-1772		-1953		-48		0.924229
-2011		-2191		15704		0.929444
-16		-1995		-23		0.932674
-1940		-2448		16212		0.935907
-1759		-1932		16960		0.939098
-4		-22		-81		0.942503
-2273		-127		16151		0.945856
-2260		-32		-118		0.949072
-115		-2028		16999		0.952296
-86		-75		17023		0.955485
-116		-2224		16508		0.95897
-1937		-1937		15404		0.962184
-17		-40		-98		0.965407
-124		-1760		-86		0.968564
