 X		Y		Z		Time[us]
810		-15		-38		-3.85881e-44
614		-58		-17		0.00614926
866		-76		-7		0.0126094
-73		773		-84		0.0188447
-93		1064		16411		0.0250939
-106		844		16931		0.0355419
-117		-68		16752		0.0417901
583		-78		-99		0.0554933
-63		1147		16978		0.0614346
1059		1042		16165		0.0698782
1087		1320		16406		0.0780119
840		-6		15965		0.0965856
776		1105		16940		0.102483
-115		1085		16216		0.10866
-83		-104		-32		0.122233
-58		-41		-57		0.128227
517		-128		16692		0.134513
582		-13		-41		0.1406
-57		1316		16652		0.154318
-38		-32		-7		0.160243
-45		-97		-100		0.166603
880		1088		16185		0.172821
-97		-16		16241		0.185816
1116		-37		16731		0.202771
579		-125		-90		0.215266
519		-56		15903		0.221681
-117		-124		17015		0.228011
-56		1052		-94		0.234667
1027		1051		-28		0.241423
620		1056		-106		0.247797
-5		860		-118		0.254248
-86		1058		-108		0.260632
-85		1355		-82		0.26693
-77		-56		-125		0.273372
-60		1026		16643		0.279887
586		1054		16727		0.286262
583		-38		16916		0.292587
-77		812		-50		0.299108
895		1132		-22		0.306037
-65		-70		16146		0.312242
-40		1058		-82		0.318488
782		1056		16499		0.324815
-49		-124		-115		0.331112
-5		875		16672		0.337488
-82		-70		-15		0.344048
-72		1100		-91		0.35047
845		1045		-8		0.35693
773		1026		17004		0.363438
810		-111		-96		0.369915
576		1139		-74		0.37634
527		-38		16427		0.382654
-82		1123		16664		0.388957
876		1031		-48		0.395355
-96		1317		-116		0.401725
848		1122		-49		0.408179
-78		883		-116		0.414695
563		-52		16491		0.421056
579		1340		-25		0.427337
607		1039		17212		0.43389
-74		1078		-109		0.440237
-111		-118		16751		0.446357
-100		-48		16482		0.452629
587		1122		-4		0.458948
804		-112		-95		0.465324
778		1094		-3		0.47174
770		-117		16704		0.478099
-14		853		-73		0.484631
1048		1034		17484		0.49102
-28		1096		16688		0.497512
-99		-106		16212		0.503948
-13		-91		16391		0.510412
-78		-77		-77		0.516569
-91		-61		17165		0.523095
-120		1052		16735		0.529416
812		860		-79		0.53581
874		-85		-12		0.542383
-91		-15		16484		0.548736
1060		-52		16951		0.555029
-49		-20		-92		0.561443
-124		-21		-59		0.567912
778		-93		-55		0.574374
-9		1054		-8		0.580523
-118		1328		-52		0.586896
-75		-108		-5		0.593432
1138		-5		16751		0.599713
-38		-64		-40		0.606325
803		-44		-118		0.612845
-3		-57		-123		0.619227
859		-101		-23		0.625811
828		1062		16992		0.632265
-100		1107		-48		0.638874
794		-61		-3		0.645131
-12		1051		16982		0.653065
774		-105		-91		0.659464
868		822		16700		0.684217
890		-36		-31		0.690687
592		-85		-103		0.69693
823		-60		16668		0.703492
-49		1076		15967		0.710069
1025		1047		-24		0.716386
-106		1107		-40		0.725833
-62		-80		-123		0.732172
827		-24		15922		0.738603
1038		-128		-97		0.744958
784		1128		17695		0.751409
816		-27		16968		0.757702
893		-7		16939		0.7641
-42		-28		-31		0.770542
774		1105		-36		0.777161
607		-40		16422		0.783237
-5		1042		16407		0.789554
895		-32		-105		0.795951
-43		1147		-83		0.802693
-18		849		-106		0.809123
-36		1040		16928		0.815805
-54		-118		16746		0.822038
-92		1083		-80		0.828337
-74		-72		-7		0.834915
568		-97		16676		0.841656
-1		1084		16971		0.850779
-53		-109		-77		0.857017
-56		1402		17503		0.863472
-30		-51		-28		0.869925
1038		784		16739		0.876338
890		-56		-61		0.882974
854		-16		-96		0.889234
-96		-1		15933		0.895529
-54		1094		-105		0.902002
1075		1027		17511		0.908437
-109		-47		17159		0.931367
517		1143		-47		0.937854
-121		-40		16695		0.944531
-126		-95		-80		0.950798
-83		1058		16911		0.957321
-33		-104		-49		0.964107
598		1059		-51		0.970499
-1		855		-121		0.976642
888		1151		-36		0.982906
551		1054		17008		0.989337
-78		1096		16693		0.995822
287		835		16748		1.00212
780		890		17255		1.0085
-100		790		-91		1.01479
-66		-31		-7		1.02114
-25		1136		16205		1.02789
-37		1026		16396		1.03435
331		1039		16648		1.04049
854		-84		-94		1.04672
882		1111		-67		1.05309
779		1143		-44		1.05949
570		-3		16236		1.06581
855		-85		17528		1.07227
-16		1052		-61		1.07844
573		-15		-4		1.08497
606		-17		-16		1.09144
775		1082		-1		1.09778
-45		-24		16456		1.12391
-76		1090		-69		1.13025
-50		1343		-56		1.13665
814		1060		16153		1.1431
803		887		16438		1.14956
-17		789		-61		1.17441
636		-61		16396		1.18072
-92		-33		16652		1.18717
-32		-54		16411		1.19364
522		832		-49		1.19999
-128		1064		-42		1.20617
849		-42		16747		1.21273
558		-64		17020		1.21918
822		-15		-58		1.22557
582		1296		-5		1.23196
360		-44		-37		1.23821
-106		786		16423		1.24468
-24		-80		16476		1.25118
627		891		-64		1.25771
1058		-112		-62		1.26391
-40		-76		-32		1.27001
573		-97		17490		1.27645
-63		-105		16738		1.28294
811		876		-85		1.28942
-54		1036		-63		1.29574
630		-111		16184		1.30206
-85		1284		17196		1.30876
-83		1282		16685		1.31528
558		-86		-74		1.33885
595		-22		16480		1.34526
-43		1064		-61		1.35157
862		-61		-48		1.3579
-4		-112		-40		1.36461
628		-109		-23		1.37118
826		1066		-47		1.38256
