 X		Y		Z		Time[us]
-96		7509		-117		-3.77998e-44
-78		7426		-6113		0.00611699
-6604		7503		-5877		0.012456
-6617		7440		-87		0.018793
-6636		-89		-118		0.0251309
-119		-120		-104		0.0344689
-6585		-107		-6137		0.0501449
-6577		7542		-84		0.0566019
-6606		-18		-5858		0.0639639
-6603		7234		-63		0.0699288
-93		-6		-101		0.0781218
-6554		-65		-87		0.0929028
-6613		-67		-5879		0.0993018
-6620		-89		-5763		0.111231
-6638		7276		-124		0.117528
-109		7499		-6045		0.123868
-82		7509		-6135		0.130228
-46		-126		-5874		0.136623
-6632		7471		-5858		0.143127
-20		-115		-5865		0.149416
-6646		-65		-101		0.156169
-115		-80		-6030		0.162669
-94		-119		-91		0.169055
-6647		7245		-108		0.175199
-6585		-5		-95		0.181627
-6603		7526		-6138		0.188097
-6619		-47		-7		0.19441
-6635		-40		-5885		0.200758
-6589		-74		-5764		0.207137
-79		7547		-6022		0.213591
-107		7446		-125		0.220004
-88		-118		-6128		0.226506
-75		7469		-5883		0.2331
-6612		7483		-108		0.239407
-6646		-71		-81		0.245569
-82		7249		-69		0.251961
-61		-104		-85		0.258382
-94		7268		-80		0.264932
-6533		7247		-92		0.271416
-6609		7510		-6124		0.277852
-6598		-114		-2		0.284247
-6629		-55		-6144		0.290956
-6618		-97		-5871		0.297516
-6578		7244		-126		0.303736
-124		7470		-108		0.309958
-85		7479		-6110		0.316362
-93		7546		-6107		0.322768
-6593		7452		-5857		0.329248
-6630		7502		-88		0.335638
-95		-89		-79		0.341801
-80		7430		-88		0.348257
-108		-98		-64		0.354722
-4		7481		-5855		0.361417
-6645		7467		-95		0.369888
-83		-39		-93		0.37613
-62		-62		-108		0.382584
-64		-61		-79		0.389101
-6650		7264		-66		0.395446
-6645		-63		-84		0.401989
-6628		-73		-6124		0.408212
-6583		-102		-5876		0.414573
-6591		-85		-3		0.421115
-6575		7264		-5763		0.427512
-73		7291		-5871		0.4337
-6619		7263		-104		0.44794
-111		7480		-103		0.454191
-62		-5		-6135		0.460609
-6651		7480		-20		0.466936
-6635		7501		-5867		0.473306
-6615		-27		-90		0.479614
-84		-30		-69		0.486053
-67		-110		-6017		0.492416
-6620		7268		-108		0.49886
-6614		-109		-98		0.505015
-97		7426		-104		0.511514
-124		-29		-98		0.520115
-99		7274		-106		0.526353
-6625		-81		-93		0.532807
-1		-64		-7		0.539226
-6606		-33		-6137		0.545633
-6587		-77		-5862		0.552141
-6624		-112		-102		0.558346
-63		7218		-106		0.564699
-57		7444		-114		0.571184
-81		7214		-74		0.57776
-6600		-126		-66		0.587656
-6590		7471		-6094		0.594007
-6576		-25		-5888		0.600498
-6572		-100		-5879		0.606843
-6592		7263		-6031		0.613231
