 X		Y		Z		Time[us]
-167		-51		-1687		3.24786e-309
-76		-74		-2221		0.00651192
-254		-79		-1957		0.0134208
-147		-38		-57		0.0196378
-90		-127		-19		0.0257757
-94		-1536		-1506		0.0319216
-223		-1688		-1676		0.0380305
-69		-1982		-2204		0.0441464
-103		-1761		-1700		0.0506424
-15		-36		-1439		0.0572933
-59		-1436		-97		0.0698681
-441		-1950		-1970		0.078912
-64		-90		-56		0.0958698
-27		-123		-65		0.102315
-96		-1466		-1460		0.108923
-235		-9		-30		0.115054
-223		-25		-16		0.123639
-47		-7		-20		0.139178
-112		-106		-27		0.145333
-202		-22		-1970		0.151707
-53		-59		-1522		0.177948
-226		-37		-1737		0.18431
-105		-75		-18		0.190784
-201		-1964		-2042		0.197198
-28		-22		-1768		0.203689
-15		-126		-85		0.209932
-60		-1526		-1418		0.216114
-174		-47		-1710		0.222668
-44		-58		-28		0.229601
-126		-18		-2010		0.236061
-177		-11		-1730		0.242534
22		-1680		-45		0.248968
-162		-95		-1510		0.255575
-144		-89		-48		0.262021
-81		-105		-114		0.268496
-411		-115		-10		0.275013
-99		-11		-1730		0.281545
1		-122		-59		0.287862
-146		-1447		-86		0.294098
-204		-101		-31		0.300475
-12		-120		-1964		0.3069
-221		-2		-2036		0.31337
-43		-36		-15		0.319922
-75		-120		-29		0.326422
-183		-1446		-1480		0.332996
-210		-1712		-64		0.339774
-17		-2025		-105		0.346325
-246		-1718		-52		0.3526
-43		-85		-3		0.358904
-64		-22		-1479		0.365395
-93		-1469		-1489		0.371789
-188		-1769		-27		0.378407
-485		-2005		-21		0.385049
-252		-1683		-1744		0.391475
-150		-1741		-1792		0.39778
-28		-77		-66		0.404132
-150		-1500		-1436		0.410493
-5		-72		-1957		0.416749
-36		-2004		-103		0.423144
-160		-128		-1742		0.429441
-53		-1672		-1530		0.435788
-247		-72		-1451		0.442261
-230		-48		-84		0.448676
-65		-60		-2273		0.455329
-135		-109		-23		0.461655
-244		-19		-1726		0.468135
-129		-1448		-1465		0.474602
-58		-1469		-1534		0.480705
-153		-4		-24		0.487053
-42		-57		-81		0.493483
-84		-122		-63		0.499799
-132		-1680		-1727		0.506301
-39		-1411		-69		0.512818
-149		-101		-1475		0.519201
-210		-106		-1679		0.525486
-98		-89		-109		0.531975
-49		-1787		-120		0.538622
-204		-120		-62		0.544869
-7		-59		-26		0.550991
-30		-117		-123		0.557449
-2		-13		-1932		0.563798
-408		-2283		-2219		0.57024
-91		-1710		-97		0.576829
-149		-91		-1737		0.583281
-15		-128		-100		0.589618
-159		-1441		-1500		0.596358
-31		-1759		-2024		0.603026
-29		-2034		-1987		0.609287
-97		-1761		-1783		0.615439
-93		-98		-12		0.621835
-62		-121		-1468		0.628202
-34		-1455		-1526		0.634723
-245		-60		-1927		0.641028
-105		-33		-2212		0.647417
-60		-1684		-83		0.653828
-35		-1688		-1778		0.66026
-149		-113		-1507		0.666802
-211		-1784		-9		0.678031
-232		-125		-21		0.684348
-80		-1688		-102		0.690871
-103		-127		-33		0.697265
-99		-1492		-23		0.703735
-114		-42		-57		0.710062
-249		-54		-1940		0.716403
-27		-2020		-34		0.722977
-100		-95		-1735		0.729484
-70		-77		-117		0.75624
-504		-102		-1939		0.762584
-155		-126		-1720		0.769023
-26		-89		-21		0.775738
-110		-110		-82		0.782061
-127		-75		-24		0.80893
-234		-94		-6		0.815244
-162		-124		-95		0.821893
-498		-77		-78		0.828507
-148		-68		-1700		0.849752
-103		-90		-1498		0.856185
-14		-1779		-1755		0.862665
-11		-1937		-123		0.869054
-94		-46		-122		0.875456
-65		-76		-98		0.882073
-40		-43		-41		0.888311
-173		-116		-1472		0.894557
-161		-1776		-1780		0.900893
-106		-2024		-117		0.90731
-46		-7		-1691		0.91364
-252		-72		-19		0.920213
-49		-60		-1666		0.926538
-147		-119		-1424		0.932843
-197		-49		-1966		0.939306
-31		-22		-2224		0.9458
-15		-1998		-1740		0.952149
-38		-1514		-1481		0.965431
-12		-9		-117		0.980133
-237		-1966		-62		0.986724
-111		-30		-51		0.992898
-79		-78		-126		0.999399
-246		-68		-7		1.00597
-212		-1744		-1700		1.01265
-84		-1681		-22		1.03569
-73		-1409		-104		1.0421
-179		-68		-1702		1.04864
-98		-89		-2005		1.05526
-57		-38		-2045		1.06179
-151		-1667		-90		1.06852
-97		-46		-1790		1.07463
-43		-87		-1443		1.08079
-185		-1764		-1744		1.08736
-43		-1956		-83		1.09364
-95		-23		-1679		1.10034
-246		-54		-47		1.1067
-21		-69		-1775		1.11315
-112		-88		-36		1.11963
-191		-1746		-96		1.1264
-393		-2015		-1992		1.13309
-202		-103		-1772		1.13935
-56		-1699		-1743		1.14556
-110		-72		-1523		1.15204
-96		-13		-1792		1.1585
-191		-44		-57		1.16494
-247		-2007		-10		1.17131
-227		-51		-1759		1.1777
13		-115		-1710		1.18422
-51		-47		-1478		1.19078
-132		-37		-1791		1.19767
-87		-61		-22		1.20389
-406		-2032		-35		1.21011
-31		-104		-41		1.2164
-97		-1688		-1765		1.22287
-27		-1456		-1455		1.22931
-240		-59		-97		1.23577
-95		-89		-2024		1.24209
-71		-39		-1718		1.24866
-110		-113		-1780		1.25534
8		-101		-1684		1.26165
-10		-120		-1518		1.26771
-245		-1701		-3		1.27408
-493		-1989		-96		1.28045
-396		-109		-93		1.28702
-165		-1673		-21		1.29358
75		-31		-9		1.29998
-23		-12		-1676		1.30614
-243		-109		-1758		1.31269
-457		-1938		-110		1.31946
33		-69		-927		1.34345
-236		-2032		-98		1.34996
-69		-1749		-1786		1.35639
-487		-63		-1732		1.36278
-215		-1501		-1479		1.36944
-188		-1722		-44		1.37588
-7		-16		-104		1.38658
-113		-35		-124		1.39302
-28		-2048		-49		1.39954
-239		-1730		-95		1.4059
-72		-1465		-48		1.41232
-45		-85		-1441		1.4186
-126		-34		-24		1.42512
-387		-84		-2219		1.43152
-12		-1681		-61		1.44412
-29		-115		-1503		1.45076
-152		-49		-18		1.4572
-114		-1937		-119		1.46374
-243		-86		-2220		1.47026
-237		-1765		-10		1.47655
-135		-1734		-1764		1.48278
-62		-1523		-1497		1.4892
-171		-1438		-60		1.49581
-21		-84		-105		1.52319
-67		-120		-19		1.52953
-101		-5		-1953		1.53608
-415		-26		-2188		1.5427
-43		-1680		-1682		1.54909
-107		-1673		-1689		1.55909
-56		-1411		-1464		1.56559
-200		-1520		-1483		1.57208
-104		-2304		-93		1.57838
-427		-1962		-109		1.58478
-89		-105		-82		1.59113
-67		-116		-70		1.59755
-184		-24		-22		1.60409
-182		-1525		-104		1.61083
-120		-1994		-2048		1.61699
-232		-49		-1976		1.62344
-172		-35		-1741		1.6299
-156		-1428		-35		1.63632
-221		-1455		-1456		1.64276
-125		-1471		-61		1.64906
-73		-25		-94		1.6555
-24		-119		-44		1.662
-104		-81		-91		1.66853
-36		-57		-107		1.69533
-69		-89		-42		1.70175
-34		-1667		-1690		1.70814
-59		-119		-40		1.71475
-32		-65		-39		1.73283
-31		-1711		-1678		1.74862
-72		-92		-1667		1.75522
-147		-1716		-36		1.76164
61		-15		-1740		1.78521
-20		-28		-1528		1.79169
-137		-119		-1778		1.798
-408		-87		-1983		1.80469
-388		-73		-2254		1.81122
-28		-1749		-16		1.81741
-114		-49		-1667		1.82369
-149		-102		-1491		1.83003
-182		-1975		-1921		1.83632
-182		-110		-1991		1.84268
-452		-2207		-2301		1.84909
-213		-1748		-91		1.85562
-44		-109		-1682		1.86198
-111		-1423		-1466		1.8685
-213		-87		-52		1.87515
-71		-2019		-49		1.88128
-101		-5		-1714		1.88763
-102		-1670		-1775		1.89415
55		-1432		-45		1.90045
-14		-38		-16		1.90681
-71		-33		-23		1.91336
-192		-33		-92		1.91969
-224		-42		-1701		1.92614
-77		-92		-72		1.93282
-114		-82		-1711		1.93928
-20		-1463		-1536		1.94537
-11		-70		-70		1.95154
-156		-63		-2294		1.95805
-79		-1988		-1671		1.96443
46		-1684		-89		1.97078
264		-1459		-1438		1.97725
-108		-1447		-11		1.98362
-117		-2026		-1930		1.98998
-33		-1979		-1966		1.9965
-47		-1923		-1766		2.0032
-58		-54		-31		2.00932
-28		-1426		-1476		2.01553
325		-58		-1762		2.02202
303		-35		-2186		2.02837
345		-2178		-2242		2.03461
-74		-1992		-76		2.04092
638		-5		-1988		2.04743
-76		-66		-111		2.05385
-89		-1676		-95		2.06036
69		-2200		-2270		2.067
298		-101		-30		2.07316
-2		-85		-42		2.07931
573		-113		-126		2.08576
563		-71		-1532		2.09216
-15		-1676		-83		2.09936
379		-1959		-17		2.10599
-58		-105		-2271		2.11216
-50		-5		-1990		2.11855
575		-69		-45		2.12518
536		-1697		-36		2.13183
373		-2257		-68		2.15465
-61		-4		-113		2.16135
622		-88		-33		2.16812
-29		-1514		-34		2.1746
546		-2045		-2029		2.18105
610		-73		-2292		2.18736
-109		-2024		-2002		2.19395
770		-1750		-1679		2.20045
790		-1522		-1526		2.2067
624		-1745		-119		2.21294
813		-2228		-8		2.21929
-4		-116		-2546		2.22583
-47		-98		-86		2.23229
-24		-58		-2040		2.23874
776		-93		-1695		2.24513
-41		-23		-1976		2.25168
853		-2265		-2267		2.25834
-47		-2255		-2265		2.26466
-61		-32		-2009		2.2708
-57		-1697		-108		2.27734
1042		-1731		-1739		2.28382
-92		-2477		-2478		2.29021
-33		-2495		-2475		2.29657
1070		-22		-85		2.30305
-22		-119		-1742		2.30935
-74		-6		-2009		2.31612
1082		-1925		-2189		2.32266
1298		-2484		-2546		2.32909
-119		-71		-16		2.35324
-24		-2481		-81		2.3596
1327		-2500		-2017		2.36589
-46		-97		-1929		2.37229
-100		-1703		-1688		2.37871
-3		-2559		-2545		2.38542
1364		-2709		-2749		2.39215
-74		-2206		-77		2.39864
1628		-126		-32		2.40499
1629		-2288		-25		2.41639
1619		-2689		-125		2.42271
1549		-2205		-2281		2.4294
-7		-123		-106		2.43593
2169		-17		-10		2.44245
1859		-24		-2950		2.44875
1625		-110		-121		2.45528
