 X		Y		Z		Time[us]
-90		-391		-416		3.24786e-309
-62		-432		-240		0.00635664
-47		12		-468		0.0127943
259		-208		-10		0.0188259
-117		-217		-171		0.0251176
-57		-120		-425		0.0316182
301		-144		-425		0.0379078
585		-116		-32		0.0456844
320		-12		-39		0.052045
-56		-226		-719		0.0580927
-20		-23		-166		0.0652743
272		-114		-433		0.0728219
9		-244		-469		0.0932777
-82		-167		-132		0.0990784
-4		-114		-11		0.105246
272		-24		-44		0.11165
607		-224		-156		0.120619
518		-741		-42		0.12659
291		-12		-80		0.132662
334		-239		-168		0.145055
358		4		-191		0.151256
-96		-33		-496		0.157635
375		-90		-479		0.174926
-9		-511		-12		0.181718
-44		-110		-71		0.18852
-15		-200		-2		0.194884
-1		-70		-55		0.201274
311		-429		-653		0.207827
-12		-114		-744		0.214443
326		-87		-59		0.221013
513		-643		-94		0.227197
-23		-71		-85		0.233514
76		-493		-237		0.239903
283		-8		-158		0.246376
371		-35		-73		0.252632
270		-421		-507		0.259074
-20		-15		-48		0.265472
-50		-75		-95		0.271823
283		-120		-20		0.278394
-80		-469		-42		0.285165
-109		-24		-51		0.291607
536		-391		-411		0.297862
565		-478		-64		0.304236
365		-426		-42		0.31055
-108		-14		-178		0.31686
-47		-177		-195		0.323137
-89		-15		-102		0.329799
-13		-124		-429		0.336119
-93		-48		-504		0.34245
340		-78		-468		0.348957
-44		-148		-477		0.35553
277		-128		-453		0.36169
357		-643		-54		0.367921
601		-117		-488		0.374236
349		-249		-27		0.380667
298		-135		-488		0.387432
575		-49		-86		0.394051
287		-427		-232		0.40027
366		-40		-63		0.406647
305		-386		-750		0.41315
270		-183		-222		0.419887
518		-108		-77		0.428084
-40		-8		-464		0.434416
-45		-666		-761		0.440743
311		-147		-388		0.447355
-30		-227		-141		0.453607
-5		-57		-423		0.460065
-42		-68		-75		0.466266
584		-41		-81		0.472635
-12		-7		-169		0.479354
585		-41		-58		0.485983
-90		-48		-471		0.492591
-56		-43		-445		0.510874
542		-750		-93		0.517131
377		-476		-469		0.523543
-127		-2		-449		0.52987
-26		-484		-5		0.536193
333		-78		-508		0.542505
119		-204		-417		0.549122
573		-674		-87		0.55582
-92		-726		-15		0.564154
-13		-463		-94		0.570285
-25		-24		-414		0.576815
-25		-106		-482		0.583223
-67		-724		-6		0.589732
369		-23		-30		0.596155
382		-56		-47		0.60242
312		-402		-447		0.608963
368		-18		-458		0.615749
-59		-209		-45		0.622466
-86		-486		-405		0.629182
-126		-388		-717		0.639202
-35		-194		-119		0.645813
-19		-454		-75		0.65215
346		-749		-216		0.658457
-83		-223		-148		0.664943
340		-407		-112		0.67126
-52		-86		-42		0.677645
-94		-175		-751		0.684146
356		-682		-696		0.690756
12		-12		-503		0.703941
296		-12		-63		0.719765
-126		-55		-3		0.726087
-41		-70		-505		0.732256
-78		-71		-102		0.738641
-43		-717		-80		0.74534
-66		-414		-92		0.751712
-44		-464		-22		0.778144
-105		-92		-23		0.784519
-29		-457		-83		0.791018
571		-85		-23		0.797489
257		-38		-54		0.824279
41		-408		-641		0.830704
355		-80		-439		0.837262
-53		-43		-27		0.843772
-115		-645		-61		0.854187
338		-30		-683		0.860499
-12		-693		-101		0.866934
371		-102		-74		0.873271
619		-492		-657		0.879537
-73		-69		-401		0.885863
363		-406		-116		0.892254
-85		-760		-739		0.898693
513		-493		-41		0.905151
-45		-33		-50		0.911679
-92		-13		-112		0.917787
-48		-95		-720		0.924161
590		-108		-55		0.930499
632		-83		-84		0.936945
-4		-26		-502		0.943416
-39		-678		-59		0.949684
288		-125		-138		0.956007
-71		-63		-73		0.962442
351		-512		-676		0.968964
293		-666		-422		0.975434
-104		-104		-68		0.989593
-41		-397		-65		0.996343
-80		-33		-9		1.00268
276		-89		-40		1.00915
256		-78		-64		1.01546
596		-411		-57		1.02177
582		-91		-168		1.02811
558		-52		-188		1.03442
-74		-68		-9		1.04074
-108		-63		-56		1.04814
298		-216		-53		1.0543
-17		-469		-78		1.06055
-74		-218		-7		1.06697
319		-75		-23		1.07329
292		-451		-419		1.07959
-117		-457		-146		1.08594
525		-198		-469		1.09217
-79		-134		-498		1.0988
537		-34		-55		1.10544
-41		-74		-181		1.11176
300		-390		-388		1.11826
-37		-142		-210		1.12469
269		-686		-420		1.13884
313		-70		-100		1.14526
-81		92		-75		1.15162
-37		-676		-5		1.15796
-112		-73		-479		1.16425
-26		6		-117		1.17059
-105		-128		-23		1.17693
266		-505		-113		1.18334
-28		-254		-448		1.18976
534		-732		-125		1.21508
301		-509		-75		1.22162
611		-15		-123		1.22796
552		-468		-62		1.2346
-113		-80		-60		1.24122
-42		-672		-735		1.26398
-35		-450		-123		1.27046
-83		-35		-105		1.27703
-83		-408		-388		1.28353
-32		-255		-703		1.28999
-124		-78		-176		1.29666
280		-451		-81		1.30296
-86		-241		-145		1.309
374		-109		-94		1.31545
-6		-216		-109		1.32172
297		-438		-62		1.32815
-24		88		-53		1.33446
338		-7		-446		1.34093
302		-33		-125		1.34718
-35		-7		-159		1.35371
-73		-120		-95		1.3602
379		-471		-505		1.36638
-98		-37		-68		1.37254
-105		-190		-237		1.37882
-8		-94		-468		1.38517
-112		-86		-753		1.39154
545		-48		-45		1.39799
379		-45		-710		1.40433
-80		-649		-120		1.41074
-73		-406		-418		1.41719
639		-116		-467		1.42359
265		-165		-19		1.44682
-18		-463		-2		1.4533
-106		-65		-47		1.45958
-5		-458		-483		1.46607
35		-73		-24		1.47251
535		-651		-43		1.47884
347		-27		-402		1.48809
-73		-58		-35		1.49449
633		-45		-205		1.50083
331		-128		-77		1.50735
-76		-700		-77		1.51368
330		-193		-115		1.51985
-126		36		17		1.52629
383		-459		-472		1.53266
355		-36		-68		1.53912
346		-448		-210		1.56658
-115		-127		-390		1.57309
540		-177		-12		1.57956
-107		-424		-232		1.58593
524		-402		-121		1.61344
362		-106		-216		1.61986
-89		-393		-22		1.6264
-108		-159		-485		1.63284
-53		-41		-67		1.64274
-40		-249		-194		1.64909
609		-739		-61		1.65558
346		-91		-144		1.66184
-112		-453		-414		1.66835
592		-109		-83		1.67476
-1		-155		-499		1.68101
542		-6		-231		1.68759
596		-78		-425		1.69421
-37		-29		-159		1.70055
547		48		-511		1.70671
297		-241		-253		1.71323
-112		-415		-42		1.71947
-93		-13		-425		1.72592
-89		53		-36		1.7322
-43		-443		-47		1.73851
543		-510		-68		1.74476
282		-432		-99		1.75115
-86		-162		-240		1.75777
864		-59		-106		1.78254
-12		-87		-93		1.789
572		-54		-249		1.79523
-36		-429		-33		1.80162
603		-30		-53		1.80807
526		-62		-127		1.81448
-63		-234		-55		1.83619
-19		-243		-114		1.84256
771		7		-76		1.84887
557		-89		-70		1.8552
-12		-216		-31		1.86184
633		-440		-461		1.8682
-107		-219		-9		1.87436
539		-186		-108		1.88047
-122		-483		-151		1.88681
-35		-114		-473		1.89323
592		-91		-26		1.89951
-60		17		85		1.90593
-91		125		-197		1.91226
542		-53		-8		1.91867
-39		-49		-72		1.92512
-11		-673		-440		1.93199
299		-100		-27		1.93811
-63		-90		-230		1.94427
-21		-692		-56		1.95061
263		-180		-237		1.95695
589		-29		-422		1.96326
-96		-34		-480		1.96971
516		-80		-124		1.97591
-81		36		-203		1.98256
577		-29		-78		1.98927
622		-73		-127		2.0016
-72		-125		-10		2.01753
-85		10		-21		2.02403
617		-435		-4		2.03038
-60		-152		-73		2.0368
-126		27		-130		2.04322
600		-46		-55		2.04972
-73		-406		-97		2.07308
519		-48		-487		2.07944
-3		-20		-223		2.0857
262		-67		-492		2.09225
637		-126		-99		2.09884
609		36		-430		2.11147
267		-215		-478		2.12727
527		-718		-148		2.13387
-4		-14		-222		2.1402
-65		-246		-172		2.14661
-70		-83		-200		2.15307
536		-103		-129		2.1597
-114		-667		-511		2.16597
329		-116		-103		2.17233
606		-149		-115		2.1787
574		-48		-75		2.18511
-4		-759		-701		2.19142
582		-459		-10		2.1979
-12		-58		-253		2.20442
-48		-502		-661		2.21088
-52		-501		-462		2.21737
-58		-731		-104		2.22387
370		-249		-117		2.22994
597		-403		-456		2.23628
-73		-80		-77		2.24275
357		-85		-58		2.24919
600		-61		-10		2.2555
-69		-88		-51		2.26186
377		-205		-39		2.26809
346		-461		-19		2.27446
-32		-91		-180		2.28106
-93		-94		-193		2.2874
612		-509		-230		2.2966
282		-439		-24		2.3029
371		-501		-63		2.3092
-79		-455		-42		2.31651
-106		-5		-400		2.32299
296		-191		-481		2.32945
-97		-4		-763		2.33575
-80		-99		-457		2.34239
521		-119		-79		2.34871
-37		-459		-107		2.35502
