 X		Y		Z		Time[us]
-29		-696		-16		-3.56979e-44
1815		-105		-86		0.00598113
-36		-1232		16904		0.0122883
-24		-1726		-4		0.0182294
-111		-1435		16988		0.0244786
1919		-113		15636		0.0308078
-108		-112		-79		0.037136
-37		-767		15989		0.0434232
1912		-36		16683		0.053271
2386		-21		-49		0.0596022
2307		-72		17236		0.0658204
2166		-10		-93		0.0747701
2136		-1676		-58		0.0917973
2418		-1431		15617		0.0982585
2155		-54		-69		0.104158
2067		-32		15913		0.110321
1612		-79		-100		0.116674
-52		-1228		17009		0.12538
2107		-85		16657		0.131231
2095		-1671		16685		0.137505
1844		-991		-72		0.153698
2118		-1207		15681		0.159481
-6		-33		16456		0.165698
2343		-1487		-6		0.171865
-97		-16		-77		0.18532
-44		-51		-41		0.201103
2054		-1247		16687		0.214708
-1		-936		-44		0.220997
1856		-748		-19		0.227575
1892		-80		16392		0.234146
2104		-98		16415		0.240544
-57		-1257		16750		0.2467
2367		-42		16196		0.253121
-68		-916		-64		0.259449
1869		-730		16765		0.265719
2135		-1245		16499		0.272164
-24		-100		17019		0.278464
2123		-99		-65		0.284722
-117		-1269		16900		0.291086
-80		-649		16153		0.297698
1838		-964		16486		0.304402
2120		-1192		-22		0.310546
-9		-1505		-58		0.316672
2062		-94		-111		0.322981
-45		-942		-113		0.329433
-128		-16		15715		0.335801
1663		-971		-1		0.342282
1595		-24		-108		0.348462
2420		-72		16922		0.354755
-62		-1431		-59		0.361289
1627		-1229		-8		0.367806
-38		-1173		-77		0.37395
1823		-86		16406		0.380142
-45		-1532		-1		0.386468
1895		-36		17275		0.392801
-1		-36		16719		0.399188
2166		-44		16221		0.405459
-69		-91		15676		0.411726
1613		-1251		16984		0.417882
2080		-1516		16249		0.424238
-53		-99		17677		0.430871
2053		-92		16427		0.437273
1828		-97		-94		0.445619
2320		-41		15740		0.452036
-101		-108		16691		0.458348
-56		-16		-48		0.464754
1826		-74		-8		0.471066
-3		-1193		16423		0.477308
1391		-11		16707		0.483629
1875		-113		-46		0.490002
-81		-83		17012		0.496514
-84		-731		-87		0.503039
-106		-77		15475		0.525793
-17		-1274		-105		0.532082
-9		-1774		-92		0.538325
2118		-1409		-61		0.544792
2319		-71		-70		0.551416
1815		-690		-59		0.560879
-113		-119		16246		0.56712
2122		-1714		-116		0.573571
2154		-17		-116		0.579858
-40		-1220		-77		0.586192
-3		-912		-3		0.59253
-77		-59		-40		0.598757
2069		-7		-95		0.605183
1892		-1496		-67		0.61186
2088		-1267		-40		0.620747
1806		-83		-115		0.62701
-72		-77		-74		0.633361
-120		-980		16691		0.63975
-21		-1708		17464		0.646069
-16		-1714		-72		0.652449
1568		-1193		-103		0.658606
2324		-945		-35		0.664934
1862		-125		15972		0.671374
1908		-1225		-121		0.677938
-81		-104		15617		0.702292
2091		-672		14970		0.708648
-67		-85		-104		0.714909
2356		-1783		16458		0.721342
-24		-1431		15732		0.727784
1822		-12		16704		0.748522
-24		-1488		-98		0.754941
2386		-123		17716		0.76127
2371		-107		16246		0.767597
1855		-107		15945		0.773909
-78		-955		15631		0.780507
-113		-31		-25		0.786978
2100		-1685		16918		0.79317
2053		-6		16499		0.799284
1828		-1179		15681		0.805679
1867		-51		-128		0.811965
-109		-40		-48		0.818237
2055		-1224		-45		0.824681
-5		-33		16916		0.831014
2071		-1260		16132		0.837436
2086		-14		15468		0.844432
1799		-31		16217		0.851087
-49		-94		-35		0.857166
-3		-35		-32		0.863453
2125		-115		17774		0.869904
-89		-1480		16760		0.876231
1914		-984		16392		0.882701
-63		-979		-46		0.889109
-33		-120		-27		0.895563
1832		-1439		-107		0.902046
2155		-1449		-123		0.908552
2379		-58		15986		0.91505
-1		-936		16705		0.924343
1811		-86		-35		0.930707
2134		-1409		16721		0.93709
1875		-1763		16436		0.943412
-57		-30		15969		0.949847
-28		-35		15407		0.956083
-86		-938		-56		0.962365
-20		-69		16420		0.968676
2083		-1496		17495		0.97511
2332		-75		-27		0.981532
1840		-91		16945		1.00389
2054		-80		17174		1.01019
2344		-113		-39		1.01641
-93		-4		-5		1.02282
1846		-15		-104		1.02938
2069		-907		-85		1.03586
-120		-1200		16448		1.04457
2351		-115		17236		1.05095
1846		-80		-80		1.05735
1877		-934		-89		1.06366
-41		-94		15731		1.06997
1882		-1020		-75		1.0762
-51		-1		15980		1.0826
2385		-95		16968		1.08911
1875		-102		16385		1.09592
2158		-68		-27		1.12348
2386		-80		-30		1.1299
1916		-1190		14961		1.13644
-116		-985		15743		1.14288
1807		-1533		-111		1.15284
-54		-1695		17189		1.15921
-19		-127		-38		1.16553
2667		-1		15447		1.1718
2664		-55		-47		1.17811
-91		-81		-4		1.18441
-7		-1261		16683		1.19078
2620		-1927		-108		1.19731
-42		-119		-23		1.21912
-68		-32		16671		1.22553
-16		-84		-3		1.23203
2676		-1669		-48		1.2383
-6		-913		-65		1.24479
-24		-1205		-8		1.25137
2377		-963		16173		1.26058
-25		-1194		-91		1.26683
2612		-1472		-54		1.27316
2615		-40		-111		1.27958
2566		-708		-84		1.28589
2419		-120		-32		1.2923
-112		-1007		15228		1.29851
2664		-114		17428		1.30499
-49		-11		-81		1.31147
2927		-60		15423		1.32035
2636		-83		15893		1.32661
-4		-964		-59		1.33295
-69		-1425		-106		1.33937
-102		-47		17175		1.34575
-115		-15		-9		1.35213
-45		-73		15631		1.35831
2896		-81		-56		1.36461
-41		-41		-32		1.3711
2935		-101		-54		1.37741
3199		-951		-86		1.38986
3146		-943		16431		1.39613
-30		-1155		15698		1.40251
3178		-1438		-78		1.40877
3376		-10		-86		1.41557
2928		-100		15933		1.42198
-82		-28		-101		1.42843
3114		-982		15963		1.4344
2910		-72		15992		1.44049
3367		-103		17165		1.44645
-33		-40		16701		1.45251
3591		-113		15633		1.4589
3587		-37		15685		1.46484
-60		-81		15707		1.47122
3347		-74		-38		1.47759
-92		-95		-90		1.48359
-4		-1208		16487		1.48959
-37		-1270		15201		1.49565
-25		-957		-60		1.50169
3380		-21		16955		1.5076
2914		-1745		17682		1.5137
-84		-1463		-99		1.5198
-117		-1021		-20		1.52571
-123		-1017		-16		1.53171
-45		-13		16392		1.53775
-61		-119		16695		1.54379
3637		-59		-31		1.54985
-15		-1167		-42		1.55587
-9		-1		15212		1.56209
2821		-1268		15912		1.56818
-91		-1512		16684		1.57425
3147		-27		-76		1.58031
3077		-1253		-60		1.5862
-68		-128		16754		1.59224
-113		-1233		15171		1.59835
-65		-1727		-124		1.60439
-69		-1715		16996		1.61045
3130		-77		-101		1.61649
-16		-1194		15413		1.62256
-25		-120		-119		1.62861
-122		-1781		-90		1.63466
-38		-101		-67		1.64072
3090		-85		-128		1.64687
3444		-27		14640		1.65343
3672		-114		15703		1.6597
3446		-1679		16679		1.66577
3338		-1422		16161		1.67189
3371		-1209		15388		1.67795
-8		-1228		15663		1.68397
-72		-80		15435		1.69004
3876		-1749		17675		1.69614
-91		-1518		15952		1.70214
3893		-725		-121		1.7089
3921		-116		-96		1.71497
3700		-67		-35		1.72114
-48		-1473		-67		1.72719
3920		-1249		-22		1.73326
